23.2	-1.9	12.78141	849.589	27
23.2	-1.9	13.50763	824.5855	18
23.2	-1.9	13.65287	849.589	63
23.2	-1.9	14.0886	849.589	38
23.2	-1.9	14.23384	849.589	45
23.2	-1.9	15.97676	824.5855	87
23.2	-1.9	16.12201	824.5855	39
23.2	-1.9	16.12201	832.6115	74
23.2	-1.9	16.12201	849.589	24
23.2	-1.9	16.26725	824.5855	318
23.2	-1.9	16.26725	832.6115	124
23.2	-1.9	16.26725	849.589	22
23.2	-1.9	16.41249	824.5855	777
23.2	-1.9	16.41249	832.6115	270
23.2	-1.9	16.41249	849.589	126
23.2	-1.9	16.55774	824.5855	1110
23.2	-1.9	16.55774	832.6115	227
23.2	-1.9	16.55774	849.589	148
23.2	-1.9	16.70298	824.5855	1134
23.2	-1.9	16.70298	832.6115	360
23.2	-1.9	16.70298	849.589	170
23.2	-1.9	16.84822	824.5855	804
23.2	-1.9	16.84822	832.6115	667
23.2	-1.9	16.84822	849.589	797
23.2	-1.9	16.99347	824.5855	610
23.2	-1.9	16.99347	832.6115	899
23.2	-1.9	16.99347	849.589	319
23.2	-1.9	17.13871	824.5855	476
23.2	-1.9	17.13871	832.6115	847
23.2	-1.9	17.13871	849.589	354
23.2	-1.9	17.28395	824.5855	155
23.2	-1.9	17.28395	832.6115	381
23.2	-1.9	17.28395	849.589	329
23.2	-1.9	17.4292	824.5855	106
23.2	-1.9	17.4292	832.6115	249
23.2	-1.9	17.4292	849.589	209
23.2	-1.9	17.57444	824.5855	39
23.2	-1.9	17.57444	849.589	40
23.2	-1.9	17.86492	849.589	30
23.2	-1.9	18.01017	849.589	29
23.2	-1.9	18.4459	824.5855	20
23.2	-1.9	27.30574	849.589	26
23.2	-1.8	7.697894	849.589	34
23.2	-1.8	12.20044	824.5855	30
23.2	-1.8	13.79811	849.589	22
23.2	-1.8	14.0886	832.6115	6
23.2	-1.8	14.37909	849.589	78
23.2	-1.8	14.52433	849.589	18
23.2	-1.8	14.81482	832.6115	57
23.2	-1.8	15.25055	824.5855	18
23.2	-1.8	15.68628	824.5855	44
23.2	-1.8	15.83152	824.5855	78
23.2	-1.8	15.97676	824.5855	41
23.2	-1.8	15.97676	832.6115	71
